name,brand_names,brands
LeJoy Cafe,"乐在甜品, LE JOY, LEJOY",62500243
乐在甜品(九方购物中心店),"乐在甜品, LE JOY, LEJOY",62500243
酷姆思,"酷姆思, CRUMBS",62500258
甜品时间(魏公村店),"甜品时间, DessertMemory",62500264
甜品时间,"甜品时间, DessertMemory",62500264
Mousse Cake慕斯蛋糕,"慕丝, MOUSSE",62500266
慕丝蛋糕,"慕丝, MOUSSE",62500266
Mousse Cake 法式西点,"慕丝, MOUSSE",62500266
慕丝蛋糕(安华街店),"慕丝, MOUSSE",62500266
Mousse Cake,"慕丝, MOUSSE",62500266
慕丝精致蛋糕(香坊店),"慕丝, MOUSSE",62500266
Mousse Cake法式西点,"慕丝, MOUSSE",62500266
moussecake(塘厦总店),"慕丝, MOUSSE",62500266
站亭(华润万象城店),"站亭, Donut stop, Donutstop",62500267
站亭,"站亭, Donut stop, Donutstop",62500267
站亭(小寨赛格店),"站亭, Donut stop, Donutstop",62500267
站亭(熙地港店),"站亭, Donut stop, Donutstop",62500267
站亭甜甜圈,"站亭, Donut stop, Donutstop",62500267
站亭(龙首印象城店),"站亭, Donut stop, Donutstop",62500267
站亭(高新万达one店),"站亭, Donut stop, Donutstop",62500267
索非蜜斯甜品站,"索非蜜斯, SoMi",62500269
食之秘(7),"食之秘, Secret Recipe, SecretRecipe",62100016
豪爽来(高新店),豪爽来,62100005
豪爽来中西餐厅(永福街店),豪爽来,62100005
豪爽来中西餐厅(祭城店),豪爽来,62100005
豪尚豪牛排主题餐厅,豪尚豪,62100015
豪尚豪牛排(水晶城购物中心店),豪尚豪,62100015
豪尚豪牛排馆(燕郊永旺店),豪尚豪,62100015
豪尚豪牛排馆(旺角购物湖光北街店),豪尚豪,62100015
豪尚豪牛排(绿地缤纷城店),豪尚豪,62100015
豪尚豪牛排馆(新光店),豪尚豪,62100015
豪尚豪牛排馆(人民西路店),豪尚豪,62100015
豪尚豪牛排馆(回龙观华联店),豪尚豪,62100015
豪尚豪牛排馆(迪荡店),豪尚豪,62100015
豪尚豪牛排馆(燕郊店),豪尚豪,62100015
豪尚豪牛排馆(明湖路店),豪尚豪,62100015
豪尚豪牛排馆(永旺梦乐城泰达店),豪尚豪,62100015
豪尚豪牛排馆(新奥购物中心店),豪尚豪,62100015
豪尚豪牛排馆(西市街店),豪尚豪,62100015
豪尚豪牛排馆(双榆树店),豪尚豪,62100015
豪尚豪牛排(兴澄银座店),豪尚豪,62100015
豪尚豪牛排馆,豪尚豪,62100015
豪尚豪牛排(汇和城店),豪尚豪,62100015
豪尚豪牛排馆(石桥路店),豪尚豪,62100015
豪尚豪牛排(汕樟店),豪尚豪,62100015
贵族世家牛排,贵族世家牛排,62100018
贵族世家牛排(步行街万豪店),贵族世家牛排,62100018
贵族世家牛排(省新店),贵族世家牛排,62100018
贵族世家牛排(北投洲美店),贵族世家牛排,62100018
贵族世家牛排(淡大店),贵族世家牛排,62100018
贵族世家牛排(芦洲长荣路店),贵族世家牛排,62100018
贵族世家牛排(民权店),贵族世家牛排,62100018
贵族世家牛排(三峡店),贵族世家牛排,62100018
贵族世家牛排(台北汐止店),贵族世家牛排,62100018
贵族世家牛排(桃园国际店),贵族世家牛排,62100018
贵族世家牛排(文化店),贵族世家牛排,62100018
贵族世家牛排(鲜馔馆-板桥国庆店),贵族世家牛排,62100018
贵族世家牛排(鲜馔馆-高雄五甲店),贵族世家牛排,62100018
贵族世家牛排(新店宝桥),贵族世家牛排,62100018
贵族世家牛排(新店中正),贵族世家牛排,62100018
贵族世家牛排(新竹食品店),贵族世家牛排,62100018
贵族世家牛排(新庄民安店),贵族世家牛排,62100018
贵族世家牛排(新庄中正店),贵族世家牛排,62100018
贵族世家牛排(莺歌店),贵族世家牛排,62100018
兰特伯爵西餐厅(奥运村店),兰特伯爵,62100019
兰特伯爵西餐厅(大运河店),兰特伯爵,62100019
杰克西餐厅,杰克西餐厅,62100020
杰克西餐厅(江滨西路店),杰克西餐厅,62100020
红屋牛排(西城店),红屋牛排,62100022
红屋牛排,红屋牛排,62100022
红屋牛排(湖北路店),红屋牛排,62100022
红屋牛排(东城万达店),红屋牛排,62100022
红屋牛排馆(南京店),红屋牛排,62100022
雨花西餐厅,雨花西餐厅,62100023
雨花西餐厅(港隆城直营店),雨花西餐厅,62100023
西部爵世牛排河间店,西部爵世,62100025
塞纳左岸咖啡,"塞纳左岸, SanaZoan",62100006
塞纳左岸咖啡(京荟广场文化产业园店),"塞纳左岸, SanaZoan",62100006
塞纳左岸咖啡(义桥星天地店),"塞纳左岸, SanaZoan",62100006
法国塞纳左岸西餐厅(金融港店),"塞纳左岸, SanaZoan",62100006
塞纳左岸西餐厅【银座店】(银座店),"塞纳左岸, SanaZoan",62100006
塞纳左岸咖啡(麒龙商务港店),"塞纳左岸, SanaZoan",62100006
塞纳左岸,"塞纳左岸, SanaZoan",62100006
塞纳左岸(万达店),"塞纳左岸, SanaZoan",62100006
塞纳左岸咖啡西餐厅(藏游坛城店),"塞纳左岸, SanaZoan",62100006
塞纳左岸西餐厅(鼎盛店),"塞纳左岸, SanaZoan",62100006
塞纳左岸咖啡厅(会展城店),"塞纳左岸, SanaZoan",62100006
塞纳左岸咖啡西餐厅,"塞纳左岸, SanaZoan",62100006
塞纳左岸中西餐厅(中意一路店),"塞纳左岸, SanaZoan",62100006
塞纳左岸咖啡(名都店),"塞纳左岸, SanaZoan",62100006
塞纳左岸西餐厅(索凌路店),"塞纳左岸, SanaZoan",62100006
塞纳左岸西餐厅,"塞纳左岸, SanaZoan",62100006
咖顿羊肉串,"咖顿, Cafedon",62100007
阿贝兹披萨,"阿贝兹, MiaBellezza",62100008
阿贝兹披萨店,"阿贝兹, MiaBellezza",62100008
阿贝兹(领秀城店),"阿贝兹, MiaBellezza",62100008
阿贝兹,"阿贝兹, MiaBellezza",62100008
BELLAGIO HOUSE,"鹿港小镇, bellagio",62100010
百特喜意式休闲餐厅,"百特喜, BAKERS",62100011
BAKERS,"百特喜, BAKERS",62100011
百特喜鹅肝比萨意大利餐厅(会展中心店),"百特喜, BAKERS",62100011
百特喜鹅肝比萨意大利餐厅(果戈里大街店),"百特喜, BAKERS",62100011
百特喜意式休闲餐厅(湖南路店),"百特喜, BAKERS",62100011
百特喜·鹅肝比萨(万达店),"百特喜, BAKERS",62100011
百特喜匹萨,"百特喜, BAKERS",62100011
百特喜,"百特喜, BAKERS",62100011
百特喜意式餐厅,"百特喜, BAKERS",62100011
百特喜鹅肝比萨意大利餐厅(打浦桥日月光店),"百特喜, BAKERS",62100011
索菲克牛排披萨餐厅,"索菲克, Sofeco",62100013
索菲克三棵松餐饮,"索菲克, Sofeco",62100013
索菲克牛排,"索菲克, Sofeco",62100013
索菲克·餐厅(人民路店),"索菲克, Sofeco",62100013
索菲克汉堡,"索菲克, Sofeco",62100013
索菲克披萨,"索菲克, Sofeco",62100013
索菲克牛排.欢享餐厅,"索菲克, Sofeco",62100013
索菲克牛排·披萨自助,"索菲克, Sofeco",62100013
索菲克牛排(莲塘玺悦城店),"索菲克, Sofeco",62100013
Sofeco索菲克牛排馆,"索菲克, Sofeco",62100013
索菲克牛排(洋湖店),"索菲克, Sofeco",62100013
