name,category,max_radio
台湾水晶鸡,一芳台湾水果茶,0.7156591415405273
甜丫丫西点,"麦当劳, ""MCDONALDS""",0.36478951573371887
川府麻辣烫,仁物,0.32227057218551636
香港十三座茶档,凉先绅,0.31390222907066345
川府面馆,"马克西姆, Maxims",0.6146836280822754
都市中式快餐,遇见奶牛,0.14473026990890503
好再来牛肉汤,许府牛,0.1418078988790512
上海生煎,蛙来哒,0.19827181100845337
毅豪饭店,名味食,0.13158144056797028
市场餐厅,愉筷,0.11373060941696167
乔东家简餐主义,"鹿港小镇, bellagio",0.34216228127479553
山西晓岗面馆,小肥羊,0.24544160068035126
好再来排档,辛发亭,0.1464623510837555
二兵菜馆,二人锅,0.21186792850494385
大牌冒菜,大口九,0.31714630126953125
茶焙,"茶玛, TEAMACC",0.1412794440984726
优昙钵华,意浓咖啡,0.4694254398345947
衍昊熟食店,傣妹火锅,0.05473140999674797
锡纸花甲粉,茶风暴,0.27332502603530884
张小生鲜汁肉包,小鱼小牛,0.2599818706512451
大牌冒菜,"滋蛋仔, MAKA MAKA, MAKAMAKA",0.37785497307777405
大脸鸡排,大口九,0.35638976097106934
静涵快餐,愉筷,0.2801360487937927
红嫂煎饼果子,水天堂,0.2067689746618271
一品湘木桶饭,一品三笑,0.7668488621711731
大牌冒菜,唯客,0.3034447133541107
小牛面馆,乌所味,0.5258501172065735
飨 CHEF L’,"迪巧克, DE CHOCOLATE, DECHOCOLATE",0.17505571246147156
凉皮公主.鸡汤饭,凉先绅,0.1732618510723114
椿林麻辣烫,唯客,0.1198238879442215
小哥烤肉拌饭,小肥羊,0.3612314462661743
旺大福酥饼,米集盒,0.20300155878067017
大众饭店,大渝火锅,0.6536285281181335
大舌头麻辣烫面,芒可,0.6231838464736938
方鑫玉,东方既白,0.22857896983623505
方燕烤猪蹄,潘师傅,0.10167758911848068
李记烧卤快餐,外婆家,0.2707565724849701
方燕烤猪蹄,蜀大侠,0.16196195781230927
方燕烤猪蹄,"滋蛋仔, MAKA MAKA, MAKAMAKA",0.0988021269440651
方燕烤猪蹄,"麦隆咖啡, MELLOWER",0.2176886796951294
龙记潮客肠粉,"比比客, bbq",0.20498467981815338
陈记老面馆,老港记,0.4793175756931305
谢记石磨肠粉,"都可, COCO, 都可茶饮",0.6167392134666443
东门陶老字号凉粉,老乡鸡,0.5113996267318726
老李熏肉,"李先生, Mrlee",0.5030764937400818
陈记卤粉面,百味记小郡肝,0.22477754950523376
刘记砂锅粥,老港记,0.21234430372714996
口袋G排,小肥羊,0.1985834240913391
东敏黄焖鸡米饭,黔乡牧人,0.6223093271255493
好再来排档,"必来客, BELIKE",0.5804345607757568
嘿哒白,"芒不颠, crazymango",0.07950608432292938
土灶柴火鸡柴火鱼,齐齐火锅,0.10773713141679764
徐州风味,雀圣冰室,0.188516303896904
PiZZaHUf,"泰迪咖啡, Teddy",0.1784985065460205
非同饭香,非茶不可,0.29701003432273865
渔伯无骨烤鱼饭,小肥羊,0.19526049494743347
骨汤冒菜,"图兰朵, Turandot",0.09109094738960266
麻辣烫烤串炸串,一夫茶,0.40750762820243835
谷氏煎饼,"雅蜜优格, yummy",0.21865209937095642
福记汤包馆,蒸浏记,0.297123521566391
茉妍茶,"茶屋, TRDLO",0.4428396224975586
雪乡烤冷面,"好伦哥, Origus",0.4053104519844055
原味刀切馒头店,烹大师,0.044828303158283234
Beijing Brilliant Gems Limited,"猫山王, Musang King, MusangKing",0.1976144015789032
